track_id,audio_path,structure_path,structure_version,structure_start_sec,structure_end_sec,structure_segment_count,bpm,analysis_utc
deam_0092,data/audio_wav/deam_0092.wav,data/structure_allin1/deam_0092.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,102,2026-09-11T01:31:35.112520+00:00
deam_0093,data/audio_wav/deam_0093.wav,data/structure_allin1/deam_0093.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,5,90,2026-09-11T01:31:35.112640+00:00
deam_0095,data/audio_wav/deam_0095.wav,data/structure_allin1/deam_0095.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,176,2026-09-11T01:31:35.112765+00:00
deam_0096,data/audio_wav/deam_0096.wav,data/structure_allin1/deam_0096.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,4,154,2026-09-11T01:31:35.112907+00:00
deam_0098,data/audio_wav/deam_0098.wav,data/structure_allin1/deam_0098.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,74,2026-09-11T01:31:35.113042+00:00
deam_0099,data/audio_wav/deam_0099.wav,data/structure_allin1/deam_0099.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,3,125,2026-09-11T01:31:35.113163+00:00
deam_0101,data/audio_wav/deam_0101.wav,data/structure_allin1/deam_0101.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,158,2026-09-11T01:31:35.113293+00:00
deam_0102,data/audio_wav/deam_0102.wav,data/structure_allin1/deam_0102.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,162,2026-09-11T01:31:35.113423+00:00
deam_0103,data/audio_wav/deam_0103.wav,data/structure_allin1/deam_0103.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,150,2026-09-11T01:31:35.113545+00:00
deam_0104,data/audio_wav/deam_0104.wav,data/structure_allin1/deam_0104.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,103,2026-09-11T01:31:35.113680+00:00
deam_0105,data/audio_wav/deam_0105.wav,data/structure_allin1/deam_0105.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,107,2026-09-11T01:31:35.113813+00:00
deam_0106,data/audio_wav/deam_0106.wav,data/structure_allin1/deam_0106.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,143,2026-09-11T01:31:35.113947+00:00
deam_0107,data/audio_wav/deam_0107.wav,data/structure_allin1/deam_0107.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,118,2026-09-11T01:31:35.114081+00:00
deam_0108,data/audio_wav/deam_0108.wav,data/structure_allin1/deam_0108.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,3,87,2026-09-11T01:31:35.114211+00:00
deam_0109,data/audio_wav/deam_0109.wav,data/structure_allin1/deam_0109.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,81,2026-09-11T01:31:35.114333+00:00
deam_0110,data/audio_wav/deam_0110.wav,data/structure_allin1/deam_0110.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,97,2026-09-11T01:31:35.114457+00:00
deam_0111,data/audio_wav/deam_0111.wav,data/structure_allin1/deam_0111.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,102,2026-09-11T01:31:35.114583+00:00
deam_0112,data/audio_wav/deam_0112.wav,data/structure_allin1/deam_0112.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,128,2026-09-11T01:31:35.114707+00:00
deam_0113,data/audio_wav/deam_0113.wav,data/structure_allin1/deam_0113.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,98,2026-09-11T01:31:35.114842+00:00
deam_0114,data/audio_wav/deam_0114.wav,data/structure_allin1/deam_0114.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,92,2026-09-11T01:31:35.114968+00:00
deam_0115,data/audio_wav/deam_0115.wav,data/structure_allin1/deam_0115.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,133,2026-09-11T01:31:35.115090+00:00
deam_0116,data/audio_wav/deam_0116.wav,data/structure_allin1/deam_0116.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,80,2026-09-11T01:31:35.115214+00:00
deam_0117,data/audio_wav/deam_0117.wav,data/structure_allin1/deam_0117.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,4,120,2026-09-11T01:31:35.115334+00:00
deam_0118,data/audio_wav/deam_0118.wav,data/structure_allin1/deam_0118.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,85,2026-09-11T01:31:35.115460+00:00
deam_0119,data/audio_wav/deam_0119.wav,data/structure_allin1/deam_0119.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,82,2026-09-11T01:31:35.115582+00:00
deam_0120,data/audio_wav/deam_0120.wav,data/structure_allin1/deam_0120.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,105,2026-09-11T01:31:35.115704+00:00
deam_0121,data/audio_wav/deam_0121.wav,data/structure_allin1/deam_0121.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,69,2026-09-11T01:31:35.115818+00:00
deam_0122,data/audio_wav/deam_0122.wav,data/structure_allin1/deam_0122.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,125,2026-09-11T01:31:35.115937+00:00
deam_0123,data/audio_wav/deam_0123.wav,data/structure_allin1/deam_0123.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,4,118,2026-09-11T01:31:35.116065+00:00
deam_0124,data/audio_wav/deam_0124.wav,data/structure_allin1/deam_0124.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,5,71,2026-09-11T01:31:35.116198+00:00
deam_0125,data/audio_wav/deam_0125.wav,data/structure_allin1/deam_0125.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,71,2026-09-11T01:31:35.116324+00:00
deam_0126,data/audio_wav/deam_0126.wav,data/structure_allin1/deam_0126.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,82,2026-09-11T01:31:35.116441+00:00
deam_0127,data/audio_wav/deam_0127.wav,data/structure_allin1/deam_0127.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,100,2026-09-11T01:31:35.116563+00:00
deam_0128,data/audio_wav/deam_0128.wav,data/structure_allin1/deam_0128.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,55,2026-09-11T01:31:35.116713+00:00
deam_0129,data/audio_wav/deam_0129.wav,data/structure_allin1/deam_0129.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,103,2026-09-11T01:31:35.116828+00:00
deam_0130,data/audio_wav/deam_0130.wav,data/structure_allin1/deam_0130.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,3,100,2026-09-11T01:31:35.116952+00:00
deam_0131,data/audio_wav/deam_0131.wav,data/structure_allin1/deam_0131.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,125,2026-09-11T01:31:35.117076+00:00
deam_0133,data/audio_wav/deam_0133.wav,data/structure_allin1/deam_0133.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,3,,2026-09-11T01:31:35.117206+00:00
deam_0134,data/audio_wav/deam_0134.wav,data/structure_allin1/deam_0134.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,94,2026-09-11T01:31:35.117315+00:00
deam_0135,data/audio_wav/deam_0135.wav,data/structure_allin1/deam_0135.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,,2026-09-11T01:31:35.117438+00:00
deam_0136,data/audio_wav/deam_0136.wav,data/structure_allin1/deam_0136.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,78,2026-09-11T01:31:35.117545+00:00
deam_0137,data/audio_wav/deam_0137.wav,data/structure_allin1/deam_0137.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,95,2026-09-11T01:31:35.117665+00:00
deam_0138,data/audio_wav/deam_0138.wav,data/structure_allin1/deam_0138.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,,2026-09-11T01:31:35.117791+00:00
deam_0140,data/audio_wav/deam_0140.wav,data/structure_allin1/deam_0140.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,100,2026-09-11T01:31:35.117899+00:00
deam_0142,data/audio_wav/deam_0142.wav,data/structure_allin1/deam_0142.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,94,2026-09-11T01:31:35.118021+00:00
deam_0143,data/audio_wav/deam_0143.wav,data/structure_allin1/deam_0143.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,128,2026-09-11T01:31:35.118140+00:00
deam_0144,data/audio_wav/deam_0144.wav,data/structure_allin1/deam_0144.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,58,2026-09-11T01:31:35.118267+00:00
deam_0145,data/audio_wav/deam_0145.wav,data/structure_allin1/deam_0145.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,3,92,2026-09-11T01:31:35.118383+00:00
deam_0146,data/audio_wav/deam_0146.wav,data/structure_allin1/deam_0146.json,allin1-commit-18e78903-model-harmonix-all,0.0,44.96,3,82,2026-09-11T01:31:35.118503+00:00
deam_0148,data/audio_wav/deam_0148.wav,data/structure_allin1/deam_0148.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,120,2026-09-11T01:31:35.118619+00:00
deam_0149,data/audio_wav/deam_0149.wav,data/structure_allin1/deam_0149.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,98,2026-09-11T01:31:35.118746+00:00
deam_0150,data/audio_wav/deam_0150.wav,data/structure_allin1/deam_0150.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,82,2026-09-11T01:31:35.118860+00:00
deam_0151,data/audio_wav/deam_0151.wav,data/structure_allin1/deam_0151.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,71,2026-09-11T01:31:35.118969+00:00
deam_0152,data/audio_wav/deam_0152.wav,data/structure_allin1/deam_0152.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,150,2026-09-11T01:31:35.119085+00:00
deam_0153,data/audio_wav/deam_0153.wav,data/structure_allin1/deam_0153.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,128,2026-09-11T01:31:35.119215+00:00
deam_0154,data/audio_wav/deam_0154.wav,data/structure_allin1/deam_0154.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,171,2026-09-11T01:31:35.119342+00:00
deam_0155,data/audio_wav/deam_0155.wav,data/structure_allin1/deam_0155.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,100,2026-09-11T01:31:35.119476+00:00
deam_0156,data/audio_wav/deam_0156.wav,data/structure_allin1/deam_0156.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,111,2026-09-11T01:31:35.119600+00:00
deam_0157,data/audio_wav/deam_0157.wav,data/structure_allin1/deam_0157.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,107,2026-09-11T01:31:35.119724+00:00
deam_0158,data/audio_wav/deam_0158.wav,data/structure_allin1/deam_0158.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,80,2026-09-11T01:31:35.119849+00:00
deam_0159,data/audio_wav/deam_0159.wav,data/structure_allin1/deam_0159.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,,2026-09-11T01:31:35.119961+00:00
deam_0160,data/audio_wav/deam_0160.wav,data/structure_allin1/deam_0160.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,61,2026-09-11T01:31:35.120065+00:00
deam_0161,data/audio_wav/deam_0161.wav,data/structure_allin1/deam_0161.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,74,2026-09-11T01:31:35.120191+00:00
deam_0162,data/audio_wav/deam_0162.wav,data/structure_allin1/deam_0162.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,182,2026-09-11T01:31:35.120303+00:00
deam_0163,data/audio_wav/deam_0163.wav,data/structure_allin1/deam_0163.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,100,2026-09-11T01:31:35.120437+00:00
deam_0164,data/audio_wav/deam_0164.wav,data/structure_allin1/deam_0164.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,,2026-09-11T01:31:35.120561+00:00
deam_0166,data/audio_wav/deam_0166.wav,data/structure_allin1/deam_0166.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,80,2026-09-11T01:31:35.120669+00:00
deam_0167,data/audio_wav/deam_0167.wav,data/structure_allin1/deam_0167.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,5,102,2026-09-11T01:31:35.120787+00:00
deam_0168,data/audio_wav/deam_0168.wav,data/structure_allin1/deam_0168.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,5,125,2026-09-11T01:31:35.120914+00:00
deam_0169,data/audio_wav/deam_0169.wav,data/structure_allin1/deam_0169.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,2,92,2026-09-11T01:31:35.121043+00:00
deam_0170,data/audio_wav/deam_0170.wav,data/structure_allin1/deam_0170.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,75,2026-09-11T01:31:35.121161+00:00
deam_0171,data/audio_wav/deam_0171.wav,data/structure_allin1/deam_0171.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,111,2026-09-11T01:31:35.121276+00:00
deam_0172,data/audio_wav/deam_0172.wav,data/structure_allin1/deam_0172.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,71,2026-09-11T01:31:35.121400+00:00
deam_0173,data/audio_wav/deam_0173.wav,data/structure_allin1/deam_0173.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,,2026-09-11T01:31:35.121516+00:00
deam_0174,data/audio_wav/deam_0174.wav,data/structure_allin1/deam_0174.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,105,2026-09-11T01:31:35.121621+00:00
deam_0175,data/audio_wav/deam_0175.wav,data/structure_allin1/deam_0175.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,65,2026-09-11T01:31:35.121740+00:00
deam_0176,data/audio_wav/deam_0176.wav,data/structure_allin1/deam_0176.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,122,2026-09-11T01:31:35.121856+00:00
deam_0177,data/audio_wav/deam_0177.wav,data/structure_allin1/deam_0177.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,102,2026-09-11T01:31:35.121981+00:00
deam_0178,data/audio_wav/deam_0178.wav,data/structure_allin1/deam_0178.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,90,2026-09-11T01:31:35.122104+00:00
deam_0179,data/audio_wav/deam_0179.wav,data/structure_allin1/deam_0179.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,97,2026-09-11T01:31:35.122220+00:00
deam_0180,data/audio_wav/deam_0180.wav,data/structure_allin1/deam_0180.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,100,2026-09-11T01:31:35.122341+00:00
deam_0181,data/audio_wav/deam_0181.wav,data/structure_allin1/deam_0181.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,,2026-09-11T01:31:35.122463+00:00
deam_0182,data/audio_wav/deam_0182.wav,data/structure_allin1/deam_0182.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,65,2026-09-11T01:31:35.122570+00:00
deam_0184,data/audio_wav/deam_0184.wav,data/structure_allin1/deam_0184.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,122,2026-09-11T01:31:35.122704+00:00
deam_0185,data/audio_wav/deam_0185.wav,data/structure_allin1/deam_0185.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,105,2026-09-11T01:31:35.122836+00:00
deam_0186,data/audio_wav/deam_0186.wav,data/structure_allin1/deam_0186.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,140,2026-09-11T01:31:35.122963+00:00
deam_0187,data/audio_wav/deam_0187.wav,data/structure_allin1/deam_0187.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,80,2026-09-11T01:31:35.123097+00:00
deam_0188,data/audio_wav/deam_0188.wav,data/structure_allin1/deam_0188.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,120,2026-09-11T01:31:35.123220+00:00
deam_0189,data/audio_wav/deam_0189.wav,data/structure_allin1/deam_0189.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,,2026-09-11T01:31:35.123356+00:00
deam_0190,data/audio_wav/deam_0190.wav,data/structure_allin1/deam_0190.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,,2026-09-11T01:31:35.123466+00:00
deam_0191,data/audio_wav/deam_0191.wav,data/structure_allin1/deam_0191.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,90,2026-09-11T01:31:35.123573+00:00
deam_0192,data/audio_wav/deam_0192.wav,data/structure_allin1/deam_0192.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,76,2026-09-11T01:31:35.123695+00:00
deam_0193,data/audio_wav/deam_0193.wav,data/structure_allin1/deam_0193.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,4,87,2026-09-11T01:31:35.123816+00:00
deam_0194,data/audio_wav/deam_0194.wav,data/structure_allin1/deam_0194.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,90,2026-09-11T01:31:35.123938+00:00
deam_0195,data/audio_wav/deam_0195.wav,data/structure_allin1/deam_0195.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,59,2026-09-11T01:31:35.124062+00:00
deam_0196,data/audio_wav/deam_0196.wav,data/structure_allin1/deam_0196.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,85,2026-09-11T01:31:35.124197+00:00
deam_0197,data/audio_wav/deam_0197.wav,data/structure_allin1/deam_0197.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,85,2026-09-11T01:31:35.124321+00:00
deam_0198,data/audio_wav/deam_0198.wav,data/structure_allin1/deam_0198.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,,2026-09-11T01:31:35.124443+00:00
deam_0199,data/audio_wav/deam_0199.wav,data/structure_allin1/deam_0199.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.05,3,111,2026-09-11T01:31:35.124551+00:00
deam_0201,data/audio_wav/deam_0201.wav,data/structure_allin1/deam_0201.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,109,2026-09-11T01:31:35.124668+00:00
deam_0202,data/audio_wav/deam_0202.wav,data/structure_allin1/deam_0202.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,103,2026-09-11T01:31:35.124795+00:00
deam_0203,data/audio_wav/deam_0203.wav,data/structure_allin1/deam_0203.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,100,2026-09-11T01:31:35.124913+00:00
deam_0204,data/audio_wav/deam_0204.wav,data/structure_allin1/deam_0204.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,,2026-09-11T01:31:35.125037+00:00
deam_0205,data/audio_wav/deam_0205.wav,data/structure_allin1/deam_0205.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,109,2026-09-11T01:31:35.125145+00:00
deam_0206,data/audio_wav/deam_0206.wav,data/structure_allin1/deam_0206.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,77,2026-09-11T01:31:35.125274+00:00
deam_0207,data/audio_wav/deam_0207.wav,data/structure_allin1/deam_0207.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,120,2026-09-11T01:31:35.125388+00:00
deam_0208,data/audio_wav/deam_0208.wav,data/structure_allin1/deam_0208.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,125,2026-09-11T01:31:35.125514+00:00
deam_0209,data/audio_wav/deam_0209.wav,data/structure_allin1/deam_0209.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,81,2026-09-11T01:31:35.125644+00:00
deam_0210,data/audio_wav/deam_0210.wav,data/structure_allin1/deam_0210.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,69,2026-09-11T01:31:35.125768+00:00
deam_0211,data/audio_wav/deam_0211.wav,data/structure_allin1/deam_0211.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,86,2026-09-11T01:31:35.125887+00:00
deam_0212,data/audio_wav/deam_0212.wav,data/structure_allin1/deam_0212.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,3,94,2026-09-11T01:31:35.126007+00:00
deam_0213,data/audio_wav/deam_0213.wav,data/structure_allin1/deam_0213.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,,2026-09-11T01:31:35.126130+00:00
deam_0214,data/audio_wav/deam_0214.wav,data/structure_allin1/deam_0214.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,120,2026-09-11T01:31:35.126237+00:00
deam_0215,data/audio_wav/deam_0215.wav,data/structure_allin1/deam_0215.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,,2026-09-11T01:31:35.126365+00:00
deam_0216,data/audio_wav/deam_0216.wav,data/structure_allin1/deam_0216.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,140,2026-09-11T01:31:35.126474+00:00
deam_0217,data/audio_wav/deam_0217.wav,data/structure_allin1/deam_0217.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,92,2026-09-11T01:31:35.126600+00:00
deam_0218,data/audio_wav/deam_0218.wav,data/structure_allin1/deam_0218.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,120,2026-09-11T01:31:35.126719+00:00
deam_0219,data/audio_wav/deam_0219.wav,data/structure_allin1/deam_0219.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,74,2026-09-11T01:31:35.126846+00:00
deam_0220,data/audio_wav/deam_0220.wav,data/structure_allin1/deam_0220.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,,2026-09-11T01:31:35.126963+00:00
deam_0221,data/audio_wav/deam_0221.wav,data/structure_allin1/deam_0221.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,79,2026-09-11T01:31:35.127068+00:00
deam_0222,data/audio_wav/deam_0222.wav,data/structure_allin1/deam_0222.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,58,2026-09-11T01:31:35.127183+00:00
deam_0223,data/audio_wav/deam_0223.wav,data/structure_allin1/deam_0223.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,5,100,2026-09-11T01:31:35.127293+00:00
deam_0224,data/audio_wav/deam_0224.wav,data/structure_allin1/deam_0224.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,100,2026-09-11T01:31:35.127422+00:00
deam_0225,data/audio_wav/deam_0225.wav,data/structure_allin1/deam_0225.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,98,2026-09-11T01:31:35.127547+00:00
deam_0226,data/audio_wav/deam_0226.wav,data/structure_allin1/deam_0226.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,100,2026-09-11T01:31:35.127668+00:00
deam_0227,data/audio_wav/deam_0227.wav,data/structure_allin1/deam_0227.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,88,2026-09-11T01:31:35.127795+00:00
deam_0228,data/audio_wav/deam_0228.wav,data/structure_allin1/deam_0228.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,3,80,2026-09-11T01:31:35.127919+00:00
deam_0229,data/audio_wav/deam_0229.wav,data/structure_allin1/deam_0229.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,143,2026-09-11T01:31:35.128040+00:00
deam_0231,data/audio_wav/deam_0231.wav,data/structure_allin1/deam_0231.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,97,2026-09-11T01:31:35.128180+00:00
deam_0232,data/audio_wav/deam_0232.wav,data/structure_allin1/deam_0232.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,3,,2026-09-11T01:31:35.128307+00:00
deam_0233,data/audio_wav/deam_0233.wav,data/structure_allin1/deam_0233.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,100,2026-09-11T01:31:35.128415+00:00
deam_0234,data/audio_wav/deam_0234.wav,data/structure_allin1/deam_0234.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.04,4,81,2026-09-11T01:31:35.128542+00:00
deam_0235,data/audio_wav/deam_0235.wav,data/structure_allin1/deam_0235.json,allin1-commit-18e78903-model-harmonix-all,0.0,45.07,4,,2026-09-11T01:31:35.128662+00:00
